year,state,id,state_code,latitude,longitude,deaths,births,maternal_mortality_ratio,population,employer,non_group,medicaid,medicare,military,uninsured,air_pollution_val,cancer_death_val,cardio_death_val,child_pov_val,choles_check_val,dent_vis_val,dentists_val,diabetes_val,drug_deaths_val,health_stat_fem_val,immun_child_val,income_ineq_val,infant_mort_val,infect_dis_val,obesity_val,phys_inac_val,prem_death_val,smoking_val,uninsured_val,all_determs_val,all_outcomes_val,chlamydia_val,prem_death_ri_val,teen_birth_val,primary_care_val
2010,Georgia,US.GA,GA,32.157435,-82.907123,38.0,133947.0,28.37,4958482.0,56.1,5.9,8.9,2.1,2.3,24.8,12.9,190.5,292.1,23.3,78.8,71.8,45.5,9.5,9.6,53.0,90.63,4.89,8.0,24.5,27.7,24.2,8324.0,17.7,19.2,-0.209,-0.011,440.1,1.3,54.9,99.8
2011,Georgia,US.GA,GA,32.157435,-82.907123,48.0,132409.0,36.25,5012403.0,55.6,5.7,9.3,1.8,2.5,25.0,12.0,193.4,285.2,24.7,78.8,70.2,45.8,9.7,10.0,51.8,92.28,4.92,7.7,12.0,30.4,25.1,8148.0,17.6,19.9,-0.212,-0.063,405.2,1.3,51.8,100.2
2012,Georgia,US.GA,GA,32.157435,-82.907123,40.0,130280.0,30.7,5068921.0,55.9,5.7,9.7,2.2,2.5,24.0,11.5,191.9,283.9,24.7,76.4,70.2,46.4,10.2,10.4,48.2,93.63,5.09,6.9,11.9,28.0,26.7,8391.0,21.2,19.3,-0.287,-0.083,466.0,1.2,41.4,102.3
2013,Georgia,US.GA,GA,32.157435,-82.907123,82.0,128748.0,63.69,5110806.0,55.4,5.7,9.4,2.0,2.7,24.7,11.2,191.6,277.0,27.1,76.4,64.1,46.6,9.9,10.7,46.9,74.7,5.12,6.6,0.39,29.1,23.6,8243.0,20.4,19.2,-0.298,-0.018000000000000002,561.6,1.2,38.2,102.5
2014,Georgia,US.GA,GA,32.157435,-82.907123,104.0,130946.0,79.42,5170356.0,56.6,7.7,10.5,2.3,2.3,20.6,10.3,192.3,273.0,23.2,77.5,64.1,46.7,10.8,10.8,47.3,69.8,5.03,6.5,0.45,30.3,27.2,7624.0,18.8,18.6,-0.292,-0.03,534.0,1.1,33.8,105.4
2015,Georgia,US.GA,GA,32.157435,-82.907123,98.0,131404.0,74.58,5234978.0,57.3,9.6,10.5,2.2,2.5,17.9,9.8,192.8,269.8,25.6,77.5,60.6,47.0,11.6,10.8,48.7,74.0,4.97,6.6,0.46,30.5,23.6,7880.0,17.4,17.3,-0.28800000000000003,-0.083,514.8,1.1,30.5,107.1
2016,Georgia,US.GA,GA,32.157435,-82.907123,73.0,130042.0,56.14,5289906.0,57.4,9.9,11.1,2.2,2.7,16.8,9.1,194.4,272.9,28.7,79.2,60.6,47.0,11.3,11.2,48.5,75.6,4.9,7.2,0.35700000000000004,30.7,27.3,7980.0,17.7,14.9,-0.355,-0.109,519.9,1.1,28.4,117.2
2017,Georgia,US.GA,GA,32.157435,-82.907123,74.0,129243.0,57.26,5353872.0,59.0,8.9,10.3,2.2,2.5,17.2,9.0,195.2,278.1,23.2,79.2,63.1,46.7,12.1,11.9,48.0,77.3,4.86,7.6,0.267,31.4,29.4,8185.0,17.9,13.4,-0.303,-0.129,570.8,1.1,25.6,119.9
2018,Georgia,US.GA,GA,32.157435,-82.907123,62.0,126172.0,49.14,5404059.0,59.2,7.7,10.7,2.2,2.6,17.7,8.6,195.5,282.9,22.9,89.4,63.1,47.2,11.4,12.7,46.9,65.6,4.84,7.6,0.457,31.6,31.0,8391.0,17.5,13.2,-0.33,-0.064,614.6,1.2,23.5,121.9
2019,Georgia,US.GA,GA,32.157435,-82.907123,64.0,126371.0,50.64,5456999.0,60.4,7.5,10.5,2.3,2.3,17.0,8.3,194.8,285.3,20.5,89.4,62.5,46.8,12.6,13.6,46.7,65.6,4.87,7.4,0.243,32.5,26.2,8243.0,16.1,13.6,-0.315,-0.132,624.2,1.2,21.9,123.9
